# vim: ft=config
Banshee Reverb
Ember Backdraft
Ember Phoenix
Excalibur Pendragon
Excalibur Umbra Sunder
Hydroid Triton
Inaros Canopic
Ivara Loxley
Ivara Zirastra
Limbo Magrite
Loki Essence
Mag Coil
Mesa Ovis
Mirage Harlequin
Mirage Trivelin
Nezha Jinza
Nova Device
Nova Quantum
Nova Slipstream
Nyx Vespa
Oberon Markhor
Oberon Oryx
Revenant Vania
Saryn Chlora
Saryn Hemlock
Titania Aurai
Trinity Aura
Trinity Meridian
Valkyr Bastet
Vauban Armistice
Wukong Macak
# Helmets incorrectly named in the item table:
#   Should be "Frost Aurora".
Aurora Frost
